order_id,order_date,store_id,region,product_id,category,quantity,unit_price,discount
O00073,2026-03-10,S02,Hamburg,P03,Dairy,7,1.1,0.0
O00074,2026-02-12,S05,Frankfurt,P03,Dairy,2,1.25,0.0
O00075,2026-02-09,S04,Cologne,P03,Dairy,7,1.25,0.0
O00076,2026-01-25,S04,Cologne,P06,Frozen,7,4.35,0.0
O00077,2026-03-20,S05,Frankfurt,P03,Dairy,7,1.21,0.1
O00078,2026-01-27,S04,Cologne,P07,Bakery,10,1.53,0.0
O00079,2026-02-26,S04,Cologne,P06,Frozen,4,4.21,0.0
O00080,2026-01-22,S01,Berlin,P03,Dairy,9,1.24,0.0
O00081,2026-01-12,S02,Hamburg,P06,Frozen,5,3.97,0.05
O00082,2026-01-06,S02,Hamburg,P04,Produce,10,0.86,0.1
O00083,2026-03-22,S05,Frankfurt,P02,Snacks,7,2.0,0.15
O00084,2026-03-30,S01,Berlin,P07,Bakery,2,1.58,0.15
O00085,2026-03-08,S04,Cologne,P01,Beverages,9,3.32,0.0
O00086,2026-02-28,S02,Hamburg,P07,Bakery,8,1.55,0.0
O00087,2026-03-18,S03,Munich,P07,Bakery,8,1.53,0.0
O00088,2026-03-06,S04,Cologne,P07,Bakery,9,1.48,0.1
O00089,2026-02-27,S03,Munich,P07,Bakery,4,1.6,0.15
O00090,2026-03-04,S02,Hamburg,P03,Dairy,8,1.1,0.1
O00091,2026-02-12,S03,Munich,P05,Household,2,5.1,0.15
O00092,2026-01-20,S02,Hamburg,P01,Beverages,7,3.44,0.0
O00093,2026-02-23,S01,Berlin,P02,Snacks,7,1.96,0.0
O00094,2026-03-31,S01,Berlin,P07,Bakery,10,1.46,0.1
O00095,2026-02-08,S04,Cologne,P07,Bakery,7,1.51,0.0
O00096,2026-03-19,S02,Hamburg,P04,Produce,4,0.76,0.0
O00097,2026-02-19,S03,Munich,P06,Frozen,7,4.39,0.0
O00098,2026-01-17,S05,Frankfurt,P05,Household,1,5.95,0.0
O00099,2026-03-26,S01,Berlin,P01,Beverages,7,3.24,0.0
O00100,2026-01-07,S03,Munich,P04,Produce,6,0.75,0.0
O00101,2026-02-18,S03,Munich,P07,Bakery,7,1.43,0.05
O00102,2026-03-11,S01,Berlin,P03,Dairy,4,1.24,0.0
O00103,2026-03-25,S01,Berlin,P07,Bakery,1,1.63,0.05
O00104,2026-03-21,S02,Hamburg,P02,Snacks,3,1.99,0.05
O00105,2026-03-01,S03,Munich,P07,Bakery,6,1.4,0.0
O00106,2026-01-15,S02,Hamburg,P03,Dairy,2,1.22,0.0
O00107,2026-03-15,S04,Cologne,P04,Produce,4,0.73,0.0
O00108,2026-03-22,S02,Hamburg,P01,Beverages,5,3.75,0.0
O00109,2026-01-16,S05,Frankfurt,P07,Bakery,1,1.45,0.0
O00110,2026-02-17,S01,Berlin,P05,Household,6,4.96,0.0
O00111,2026-03-04,S01,Berlin,P04,Produce,6,0.82,0.0
O00112,2026-01-20,S04,Cologne,P02,Snacks,9,2.19,0.15
O00113,2026-03-03,S04,Cologne,P04,Produce,10,0.76,0.0
O00114,2026-01-12,S03,Munich,P04,Produce,4,0.84,0.0
O00115,2026-03-27,S04,Cologne,P03,Dairy,1,1.2,0.0
O00116,2026-03-04,S02,Hamburg,P03,Dairy,5,1.16,0.0
O00117,2026-03-31,S03,Munich,P05,Household,1,5.52,0.05
O00118,2026-02-22,S04,Cologne,P05,Household,4,5.71,0.0
O00119,2026-03-04,S04,Cologne,P07,Bakery,1,1.38,0.15
O00120,2026-02-01,S03,Munich,P06,Frozen,10,4.09,0.0
O00121,2026-02-14,S04,Cologne,P06,Frozen,9,4.06,0.0
O00122,2026-02-04,S03,Munich,P03,Dairy,4,1.11,0.05
O00123,2026-03-10,S02,Hamburg,P02,Snacks,4,2.1,0.15
O00124,2026-03-09,S05,Frankfurt,P03,Dairy,2,1.28,0.1
O00125,2026-01-23,S03,Munich,P01,Beverages,9,3.24,0.05
O00126,2026-03-12,S03,Munich,P06,Frozen,3,4.32,0.0
O00127,2026-01-14,S01,Berlin,P05,Household,5,5.47,0.0
O00128,2026-01-24,S01,Berlin,P03,Dairy,8,1.11,0.1
O00129,2026-01-10,S05,Frankfurt,P06,Frozen,1,3.91,0.0
O00130,2026-02-08,S01,Berlin,P02,Snacks,2,2.02,0.0
O00131,2026-03-18,S05,Frankfurt,P02,Snacks,9,1.95,0.0
O00132,2026-02-08,S05,Frankfurt,P04,Produce,5,0.81,0.15
O00133,2026-01-13,S02,Hamburg,P06,Frozen,4,4.0,0.05
O00134,2026-01-23,S05,Frankfurt,P01,Beverages,3,3.15,0.0
O00135,2026-03-18,S04,Cologne,P03,Dairy,1,1.14,0.0
O00136,2026-03-31,S04,Cologne,P01,Beverages,4,3.8,0.0
O00137,2026-03-22,S05,Frankfurt,P06,Frozen,4,4.14,0.0
O00138,2026-03-24,S02,Hamburg,P03,Dairy,3,1.1,0.1
O00139,2026-03-18,S05,Frankfurt,P03,Dairy,8,1.11,0.0
O00140,2026-03-31,S04,Cologne,P03,Dairy,9,1.21,0.0
O00141,2026-03-18,S01,Berlin,P04,Produce,6,0.82,0.05
O00142,2026-03-28,S05,Frankfurt,P05,Household,1,6.05,0.0
O00143,2026-02-04,S05,Frankfurt,P01,Beverages,3,3.48,0.0
O00144,2026-02-05,S02,Hamburg,P05,Household,7,5.65,0.0
O00145,2026-01-12,S04,Cologne,P03,Dairy,7,1.16,0.0
O00146,2026-01-21,S03,Munich,P04,Produce,8,0.77,0.0
O00147,2026-03-12,S01,Berlin,P04,Produce,2,0.77,0.0
O00148,2026-02-21,S05,Frankfurt,P07,Bakery,1,1.55,0.0
O00149,2026-02-22,S01,Berlin,P02,Snacks,9,1.94,0.0
O00150,2026-03-22,S04,Cologne,P07,Bakery,1,1.41,0.0
O00151,2026-02-06,S04,Cologne,P06,Frozen,8,3.88,0.0
O00152,2026-03-19,S02,Hamburg,P06,Frozen,3,4.04,0.1
O00153,2026-01-12,S02,Hamburg,P07,Bakery,2,1.49,0.05
O00154,2026-03-05,S03,Munich,P05,Household,5,5.41,0.0
O00155,2026-03-02,S02,Hamburg,P04,Produce,9,0.74,0.15
O00156,2026-03-07,S02,Hamburg,P07,Bakery,2,1.43,0.0
O00157,2026-02-23,S03,Munich,P07,Bakery,9,1.43,0.15
O00158,2026-02-08,S05,Frankfurt,P05,Household,8,5.9,0.0
O00159,2026-03-03,S03,Munich,P03,Dairy,9,1.26,0.0
O00160,2026-02-11,S02,Hamburg,P06,Frozen,4,4.26,0.1
O00161,2026-01-06,S03,Munich,P06,Frozen,8,4.37,0.0
O00162,2026-02-19,S02,Hamburg,P04,Produce,1,0.74,0.0
O00163,2026-02-12,S01,Berlin,P07,Bakery,8,1.38,0.0
O00164,2026-01-02,S02,Hamburg,P04,Produce,3,0.73,0.0
O00165,2026-02-03,S03,Munich,P05,Household,7,5.66,0.0
O00166,2026-03-28,S05,Frankfurt,P04,Produce,6,0.82,0.0
O00167,2026-03-04,S05,Frankfurt,P01,Beverages,10,3.2,0.0
O00168,2026-02-06,S02,Hamburg,P06,Frozen,2,4.14,0.15
O00169,2026-01-13,S04,Cologne,P02,Snacks,5,2.16,0.05
O00170,2026-02-07,S03,Munich,P03,Dairy,7,1.11,0.0
O00171,2026-03-14,S02,Hamburg,P02,Snacks,3,1.83,0.0
O00172,2026-03-21,S02,Hamburg,P04,Produce,10,0.74,0.0
O00173,2026-02-02,S04,Cologne,P03,Dairy,1,1.3,0.0
O00174,2026-02-06,S05,Frankfurt,P02,Snacks,2,1.98,0.0
O00175,2026-03-17,S03,Munich,P06,Frozen,7,4.36,0.0
O00176,2026-02-08,S02,Hamburg,P04,Produce,8,0.74,0.0
O00177,2026-02-15,S05,Frankfurt,P03,Dairy,5,1.09,0.0
O00178,2026-02-20,S03,Munich,P01,Beverages,10,3.76,0.0
O00179,2026-01-07,S05,Frankfurt,P06,Frozen,8,4.48,0.0
O00180,2026-01-30,S05,Frankfurt,P07,Bakery,6,1.42,0.1
O00181,2026-03-28,S02,Hamburg,P06,Frozen,2,4.54,0.0
O00182,2026-02-09,S04,Cologne,P01,Beverages,10,3.41,0.1
O00183,2026-02-11,S04,Cologne,P02,Snacks,4,1.85,0.0
O00184,2026-02-16,S05,Frankfurt,P05,Household,5,5.86,0.1
O00185,2026-02-07,S03,Munich,P07,Bakery,2,1.49,0.05
O00186,2026-03-28,S04,Cologne,P07,Bakery,9,1.46,0.0
O00187,2026-01-02,S03,Munich,P05,Household,2,5.45,0.0
O00188,2026-03-28,S03,Munich,P05,Household,7,5.85,0.0
O00189,2026-01-14,S02,Hamburg,P04,Produce,1,0.82,0.0
O00190,2026-02-11,S05,Frankfurt,P02,Snacks,2,2.05,0.0
O00191,2026-03-31,S03,Munich,P06,Frozen,7,3.88,0.05
O00192,2026-02-08,S04,Cologne,P01,Beverages,2,3.31,0.0
O00193,2026-02-19,S04,Cologne,P03,Dairy,9,1.18,0.0
O00194,2026-01-20,S04,Cologne,P06,Frozen,2,4.48,0.0
O00195,2026-02-05,S01,Berlin,P06,Frozen,6,3.96,0.0
O00196,2026-01-31,S03,Munich,P01,Beverages,6,3.53,0.0
O00197,2026-02-15,S01,Berlin,P04,Produce,5,0.75,0.1
O00198,2026-01-12,S02,Hamburg,P06,Frozen,10,4.6,0.1
O00199,2026-02-01,S02,Hamburg,P07,Bakery,10,1.41,0.0
O00200,2026-03-12,S02,Hamburg,P05,Household,4,5.84,0.05
O00201,2026-03-18,S01,Berlin,P03,Dairy,3,1.32,0.0
O00202,2026-01-23,S01,Berlin,P06,Frozen,1,3.89,0.0
O00203,2026-01-31,S05,Frankfurt,P03,Dairy,1,1.12,0.15
O00204,2026-02-23,S05,Frankfurt,P01,Beverages,2,3.48,0.0
O00205,2026-03-07,S05,Frankfurt,P01,Beverages,8,3.5,0.0
O00206,2026-01-06,S05,Frankfurt,P03,Dairy,8,1.23,0.1
O00207,2026-02-21,S04,Cologne,P06,Frozen,2,4.19,0.0
O00208,2026-01-10,S01,Berlin,P03,Dairy,10,1.12,0.15
O00209,2026-03-23,S05,Frankfurt,P05,Household,6,5.37,0.0
O00210,2026-02-07,S04,Cologne,P05,Household,10,5.42,0.0
O00211,2026-01-15,S05,Frankfurt,P06,Frozen,4,4.14,0.0
O00212,2026-02-22,S03,Munich,P07,Bakery,8,1.47,0.0
O00213,2026-02-10,S04,Cologne,P03,Dairy,5,1.17,0.1
O00214,2026-01-09,S01,Berlin,P07,Bakery,2,1.38,0.15
O00215,2026-02-17,S02,Hamburg,P05,Household,1,5.6,0.0
O00216,2026-02-12,S01,Berlin,P04,Produce,6,0.86,0.0
O00217,2026-02-24,S01,Berlin,P03,Dairy,10,1.15,0.15
O00218,2026-01-28,S02,Hamburg,P06,Frozen,8,3.97,0.15
O00219,2026-02-17,S01,Berlin,P07,Bakery,5,1.52,0.0
O00220,2026-03-13,S05,Frankfurt,P05,Household,9,4.98,0.0
O00221,2026-03-30,S03,Munich,P01,Beverages,3,3.34,0.0
O00222,2026-02-13,S03,Munich,P01,Beverages,3,3.76,0.0
O00223,2026-02-21,S01,Berlin,P02,Snacks,1,1.84,0.0
O00224,2026-02-18,S04,Cologne,P04,Produce,6,0.75,0.0
O00225,2026-02-11,S05,Frankfurt,P05,Household,2,5.92,0.15
O00226,2026-01-07,S01,Berlin,P03,Dairy,8,1.24,0.0
O00227,2026-02-26,S04,Cologne,P03,Dairy,4,1.26,0.1
O00228,2026-01-15,S03,Munich,P06,Frozen,10,4.19,0.0
O00229,2026-01-06,S02,Hamburg,P04,Produce,10,0.73,0.05
O00230,2026-01-18,S03,Munich,P03,Dairy,6,1.11,0.0
O00231,2026-02-25,S02,Hamburg,P02,Snacks,7,2.01,0.15
O00232,2026-03-27,S03,Munich,P01,Beverages,7,3.75,0.05
O00233,2026-02-28,S01,Berlin,P07,Bakery,6,1.52,0.0
O00234,2026-03-23,S04,Cologne,P03,Dairy,2,1.18,0.0
O00235,2026-01-22,S05,Frankfurt,P04,Produce,6,0.73,0.0
O00236,2026-02-01,S04,Cologne,P05,Household,7,5.53,0.0
O00237,2026-02-09,S03,Munich,P02,Snacks,6,2.11,0.15
O00238,2026-01-15,S05,Frankfurt,P05,Household,4,5.95,0.0
O00239,2026-03-24,S02,Hamburg,P02,Snacks,2,1.86,0.15
O00240,2026-01-20,S01,Berlin,P02,Snacks,8,1.99,0.0
O00241,2026-03-16,S04,Cologne,P06,Frozen,10,4.32,0.0
O00242,2026-02-11,S03,Munich,P02,Snacks,8,1.83,0.0
O00243,2026-02-08,S03,Munich,P05,Household,1,5.34,0.1
O00244,2026-02-27,S01,Berlin,P01,Beverages,6,3.73,0.05
O00245,2026-03-20,S05,Frankfurt,P05,Household,7,5.46,0.0
O00246,2026-01-06,S04,Cologne,P07,Bakery,10,1.55,0.0
O00247,2026-03-02,S05,Frankfurt,P02,Snacks,1,1.98,0.0
O00248,2026-02-13,S01,Berlin,P05,Household,3,4.99,0.0
O00249,2026-02-26,S05,Frankfurt,P05,Household,10,5.12,0.0
O00250,2026-02-06,S04,Cologne,P04,Produce,6,0.83,0.15
O00251,2026-03-24,S03,Munich,P01,Beverages,6,3.22,0.0
O00252,2026-02-06,S03,Munich,P06,Frozen,10,4.51,0.0
O00253,2026-03-16,S02,Hamburg,P03,Dairy,5,1.31,0.0
O00254,2026-02-20,S02,Hamburg,P05,Household,2,5.29,0.0
O00255,2026-02-12,S02,Hamburg,P06,Frozen,9,3.86,0.0
O00256,2026-03-07,S03,Munich,P01,Beverages,6,3.37,0.0
O00257,2026-02-13,S04,Cologne,P02,Snacks,4,2.2,0.1
O00258,2026-01-13,S05,Frankfurt,P07,Bakery,9,1.6,0.0
O00259,2026-01-05,S03,Munich,P07,Bakery,10,1.39,0.0
O00260,2026-01-21,S02,Hamburg,P07,Bakery,10,1.59,0.1
O00261,2026-01-06,S04,Cologne,P03,Dairy,4,1.31,0.0
O00262,2026-02-27,S02,Hamburg,P05,Household,4,5.29,0.0
O00263,2026-03-02,S02,Hamburg,P03,Dairy,10,1.32,0.0
O00264,2026-02-06,S04,Cologne,P05,Household,9,5.41,0.05
O00265,2026-03-19,S02,Hamburg,P07,Bakery,5,1.37,0.0
O00266,2026-02-17,S05,Frankfurt,P01,Beverages,9,3.75,0.05
O00267,2026-02-04,S04,Cologne,P05,Household,3,5.86,0.05
O00268,2026-02-27,S03,Munich,P01,Beverages,7,3.19,0.0
O00269,2026-01-31,S04,Cologne,P01,Beverages,6,3.31,0.0
O00270,2026-01-13,S03,Munich,P07,Bakery,3,1.39,0.1
O00271,2026-03-31,S02,Hamburg,P07,Bakery,8,1.48,0.05
O00272,2026-01-03,S03,Munich,P02,Snacks,3,2.02,0.0
O00273,2026-03-09,S04,Cologne,P01,Beverages,5,3.32,0.05
O00274,2026-02-23,S05,Frankfurt,P04,Produce,2,0.74,0.0
O00275,2026-03-18,S05,Frankfurt,P01,Beverages,9,3.55,0.0
O00276,2026-02-07,S04,Cologne,P01,Beverages,10,3.4,0.0
O00277,2026-01-24,S01,Berlin,P05,Household,6,5.02,0.0
O00278,2026-03-06,S05,Frankfurt,P05,Household,1,5.38,0.0
O00279,2026-03-23,S04,Cologne,P03,Dairy,5,1.26,0.0
O00280,2026-01-09,S03,Munich,P02,Snacks,2,2.11,0.0
O00281,2026-02-12,S02,Hamburg,P01,Beverages,6,3.53,0.0
O00282,2026-01-23,S04,Cologne,P06,Frozen,8,4.31,0.0
O00283,2026-01-09,S04,Cologne,P01,Beverages,5,3.29,0.0
O00284,2026-01-06,S03,Munich,P03,Dairy,9,1.18,0.0
O00285,2026-03-02,S03,Munich,P01,Beverages,4,3.35,0.0
O00286,2026-01-07,S03,Munich,P03,Dairy,2,1.27,0.0
O00287,2026-02-21,S04,Cologne,P04,Produce,6,0.88,0.0
O00288,2026-03-05,S03,Munich,P07,Bakery,9,1.43,0.1
O00289,2026-01-11,S04,Cologne,P05,Household,3,5.55,0.0
O00290,2026-01-11,S03,Munich,P06,Frozen,5,4.04,0.0
O00291,2026-02-24,S02,Hamburg,P06,Frozen,8,4.08,0.1
O00292,2026-03-20,S04,Cologne,P03,Dairy,1,1.1,0.0
O00293,2026-02-16,S05,Frankfurt,P07,Bakery,3,1.64,0.15
O00294,2026-03-28,S04,Cologne,P01,Beverages,3,3.2,0.0
O00295,2026-02-16,S03,Munich,P04,Produce,10,0.73,0.1
O00296,2026-02-17,S03,Munich,P04,Produce,2,0.81,0.0
O00297,2026-02-20,S03,Munich,P06,Frozen,5,3.99,0.15
O00298,2026-01-24,S04,Cologne,P05,Household,7,5.95,0.1
O00299,2026-02-27,S02,Hamburg,P05,Household,5,5.71,0.0
O00300,2026-01-26,S01,Berlin,P02,Snacks,2,1.98,0.0
O00301,2026-02-26,S01,Berlin,P07,Bakery,6,1.55,0.0
O00302,2026-03-12,S05,Frankfurt,P03,Dairy,5,1.28,0.0
O00303,2026-03-31,S02,Hamburg,P07,Bakery,6,1.5,0.05
O00304,2026-01-18,S02,Hamburg,P07,Bakery,8,1.36,0.0
O00305,2026-02-17,S04,Cologne,P07,Bakery,9,1.39,0.0
O00306,2026-01-09,S03,Munich,P04,Produce,8,0.8,0.0
O00307,2026-03-15,S01,Berlin,P02,Snacks,6,2.06,0.0
O00308,2026-03-29,S05,Frankfurt,P03,Dairy,3,1.29,0.0
O00309,2026-03-23,S05,Frankfurt,P02,Snacks,3,1.97,0.0
O00310,2026-01-08,S01,Berlin,P05,Household,3,5.28,0.15
O00311,2026-01-29,S03,Munich,P05,Household,5,5.88,0.15
O00312,2026-03-12,S03,Munich,P02,Snacks,5,2.05,0.15
O00313,2026-01-22,S05,Frankfurt,P05,Household,3,5.14,0.0
O00314,2026-03-19,S03,Munich,P07,Bakery,10,1.36,0.0
O00315,2026-01-11,S01,Berlin,P06,Frozen,10,4.0,0.15
O00316,2026-02-23,S05,Frankfurt,P06,Frozen,1,4.2,0.0
O00317,2026-02-07,S03,Munich,P04,Produce,4,0.85,0.0
O00318,2026-02-08,S04,Cologne,P01,Beverages,1,3.26,0.0
O00319,2026-03-01,S02,Hamburg,P03,Dairy,10,1.11,0.0
O00320,2026-02-10,S03,Munich,P04,Produce,3,0.84,0.0
O00321,2026-01-14,S03,Munich,P02,Snacks,8,1.85,0.0
O00322,2026-01-19,S01,Berlin,P01,Beverages,5,3.81,0.0
O00323,2026-02-23,S02,Hamburg,P07,Bakery,3,1.59,0.0
O00324,2026-02-10,S02,Hamburg,P07,Bakery,3,1.5,0.0
O00325,2026-03-05,S03,Munich,P04,Produce,1,0.73,0.0
O00326,2026-02-28,S02,Hamburg,P02,Snacks,10,1.94,0.1
O00327,2026-03-18,S04,Cologne,P03,Dairy,9,1.08,0.05
O00328,2026-02-03,S03,Munich,P07,Bakery,7,1.46,0.0
O00329,2026-03-14,S05,Frankfurt,P02,Snacks,6,2.02,0.15
O00330,2026-02-27,S05,Frankfurt,P03,Dairy,10,1.24,0.05
O00331,2026-02-20,S03,Munich,P07,Bakery,6,1.52,0.0
O00332,2026-01-19,S02,Hamburg,P05,Household,9,5.39,0.05
O00333,2026-01-18,S03,Munich,P07,Bakery,8,1.51,0.15
O00334,2026-01-18,S03,Munich,P05,Household,6,5.13,0.0
O00335,2026-02-08,S05,Frankfurt,P03,Dairy,9,1.28,0.0
O00336,2026-03-14,S03,Munich,P04,Produce,1,0.78,0.0
O00337,2026-02-23,S05,Frankfurt,P03,Dairy,1,1.22,0.15
O00338,2026-03-16,S05,Frankfurt,P02,Snacks,1,2.03,0.15
O00339,2026-03-21,S04,Cologne,P02,Snacks,4,1.81,0.0
O00340,2026-01-15,S02,Hamburg,P01,Beverages,8,3.37,0.15
O00341,2026-01-27,S04,Cologne,P05,Household,10,5.96,0.0
O00342,2026-01-08,S02,Hamburg,P05,Household,4,5.57,0.0
O00343,2026-03-03,S05,Frankfurt,P04,Produce,6,0.87,0.0
O00344,2026-03-10,S03,Munich,P05,Household,6,5.69,0.0
O00345,2026-03-29,S03,Munich,P05,Household,8,5.16,0.15
O00346,2026-02-08,S02,Hamburg,P03,Dairy,5,1.25,0.0
O00347,2026-03-04,S03,Munich,P04,Produce,6,0.81,0.0
O00348,2026-02-05,S03,Munich,P01,Beverages,10,3.62,0.0
O00349,2026-02-20,S03,Munich,P07,Bakery,3,1.44,0.15
O00350,2026-01-11,S03,Munich,P04,Produce,5,0.84,0.15
O00351,2026-02-04,S05,Frankfurt,P06,Frozen,5,3.9,0.0
O00352,2026-03-17,S02,Hamburg,P02,Snacks,1,2.07,0.0
O00353,2026-03-23,S02,Hamburg,P01,Beverages,2,3.44,0.0
O00354,2026-01-13,S02,Hamburg,P01,Beverages,9,3.83,0.15
O00355,2026-03-02,S04,Cologne,P06,Frozen,4,4.41,0.1
O00356,2026-03-24,S01,Berlin,P07,Bakery,2,1.55,0.15
O00357,2026-01-05,S02,Hamburg,P04,Produce,3,0.87,0.1
O00358,2026-03-05,S02,Hamburg,P06,Frozen,5,4.52,0.15
O00359,2026-03-19,S01,Berlin,P03,Dairy,5,1.19,0.0
O00360,2026-03-09,S04,Cologne,P02,Snacks,9,1.99,0.05
O00361,2026-02-12,S02,Hamburg,P06,Frozen,8,4.32,0.0
O00362,2026-01-02,S03,Munich,P07,Bakery,5,1.52,0.0
O00363,2026-01-23,S05,Frankfurt,P07,Bakery,7,1.6,0.0
O00364,2026-01-12,S04,Cologne,P06,Frozen,2,3.94,0.1
O00365,2026-02-01,S01,Berlin,P03,Dairy,7,1.14,0.0
O00366,2026-02-12,S03,Munich,P05,Household,10,4.96,0.0
O00367,2026-03-30,S02,Hamburg,P01,Beverages,2,3.48,0.15
O00368,2026-03-06,S03,Munich,P06,Frozen,2,4.32,0.0
O00369,2026-02-17,S05,Frankfurt,P02,Snacks,4,2.18,0.0
O00370,2026-02-28,S05,Frankfurt,P03,Dairy,7,1.25,0.0
O00371,2026-03-10,S02,Hamburg,P07,Bakery,4,1.55,0.0
O00372,2026-01-11,S05,Frankfurt,P04,Produce,9,0.83,0.15
O00373,2026-01-15,S01,Berlin,P07,Bakery,9,1.62,0.15
O00374,2026-01-20,S02,Hamburg,P03,Dairy,9,1.19,0.0
O00375,2026-03-16,S04,Cologne,P01,Beverages,9,3.46,0.05
O00376,2026-03-07,S04,Cologne,P04,Produce,10,0.73,0.0
O00377,2026-02-09,S01,Berlin,P04,Produce,5,0.85,0.0
